Node: 28, Time: +16s,10.1.1.31, 10.1.1.17,1,2
Node: 28, Time: +16s,10.1.1.32, 10.1.1.32,1,1
Node: 28, Time: +16s,10.1.1.33, 10.1.1.33,1,1
Node: 28, Time: +16s,10.1.1.34, 10.1.1.34,1,1
Node: 28, Time: +16s,10.1.1.35, 10.1.1.30,1,5
Node: 28, Time: +16s,10.1.1.37, 10.1.1.37,1,1
Node: 28, Time: +16s,10.1.1.38, 10.1.1.23,1,2
Node: 28, Time: +16s,10.1.1.39, 10.1.1.32,1,2
Node: 28, Time: +16s,10.1.1.41, 10.1.1.30,1,5
Node: 28, Time: +16s,10.1.1.44, 10.1.1.44,1,1
Node: 28, Time: +16s,10.1.1.47, 10.1.1.44,1,2
Node: 28, Time: +16s,10.1.1.49, 10.1.1.49,1,1
Node: 29, Time: +16s,10.1.1.1, 10.1.1.29,1,2
Node: 29, Time: +16s,10.1.1.2, 10.1.1.38,1,2
Node: 29, Time: +16s,10.1.1.3, 10.1.1.3,1,1
Node: 29, Time: +16s,10.1.1.4, 10.1.1.29,1,3
Node: 29, Time: +16s,10.1.1.8, 10.1.1.10,1,3
Node: 29, Time: +16s,10.1.1.10, 10.1.1.10,1,1
Node: 29, Time: +16s,10.1.1.12, 10.1.1.12,1,1
Node: 29, Time: +16s,10.1.1.14, 10.1.1.29,1,2
Node: 29, Time: +16s,10.1.1.15, 10.1.1.29,1,3
Node: 29, Time: +16s,10.1.1.17, 10.1.1.17,1,1
Node: 29, Time: +16s,10.1.1.20, 10.1.1.10,1,2
Node: 29, Time: +16s,10.1.1.22, 10.1.1.23,1,2
Node: 29, Time: +16s,10.1.1.23, 10.1.1.23,1,1
Node: 29, Time: +16s,10.1.1.24, 10.1.1.3,1,2
Node: 29, Time: +16s,10.1.1.25, 10.1.1.29,1,2
Node: 29, Time: +16s,10.1.1.26, 10.1.1.29,1,3
Node: 29, Time: +16s,10.1.1.28, 10.1.1.10,1,4
Node: 29, Time: +16s,10.1.1.29, 10.1.1.29,1,1
Node: 29, Time: +16s,10.1.1.31, 10.1.1.17,1,2
Node: 29, Time: +16s,10.1.1.32, 10.1.1.32,1,1
Node: 29, Time: +16s,10.1.1.33, 10.1.1.29,1,2
Node: 29, Time: +16s,10.1.1.34, 10.1.1.29,1,2
Node: 29, Time: +16s,10.1.1.35, 10.1.1.10,1,4
Node: 29, Time: +16s,10.1.1.37, 10.1.1.37,1,1
Node: 29, Time: +16s,10.1.1.38, 10.1.1.38,1,1
Node: 29, Time: +16s,10.1.1.39, 10.1.1.32,1,2
Node: 29, Time: +16s,10.1.1.41, 10.1.1.10,1,4
Node: 29, Time: +16s,10.1.1.44, 10.1.1.29,1,2
Node: 29, Time: +16s,10.1.1.47, 10.1.1.29,1,3
Node: 29, Time: +16s,10.1.1.49, 10.1.1.29,1,2
Node: 30, Time: +16s,10.1.1.1, 10.1.1.1,1,1
Node: 30, Time: +16s,10.1.1.2, 10.1.1.32,1,3
Node: 30, Time: +16s,10.1.1.3, 10.1.1.32,1,2
Node: 30, Time: +16s,10.1.1.4, 10.1.1.17,1,3
Node: 30, Time: +16s,10.1.1.8, 10.1.1.32,1,4
Node: 30, Time: +16s,10.1.1.10, 10.1.1.32,1,2
Node: 30, Time: +16s,10.1.1.12, 10.1.1.32,1,2
Node: 30, Time: +16s,10.1.1.14, 10.1.1.32,1,3
Node: 30, Time: +16s,10.1.1.15, 10.1.1.49,1,3
Node: 30, Time: +16s,10.1.1.17, 10.1.1.17,1,1
Node: 30, Time: +16s,10.1.1.20, 10.1.1.32,1,3
Node: 30, Time: +16s,10.1.1.22, 10.1.1.32,1,3
Node: 30, Time: +16s,10.1.1.23, 10.1.1.32,1,2
Node: 30, Time: +16s,10.1.1.24, 10.1.1.32,1,4
Node: 30, Time: +16s,10.1.1.25, 10.1.1.49,1,2
Node: 30, Time: +16s,10.1.1.26, 10.1.1.26,1,1
Node: 30, Time: +16s,10.1.1.28, 10.1.1.32,1,5
Node: 30, Time: +16s,10.1.1.29, 10.1.1.32,1,2
Node: 30, Time: +16s,10.1.1.30, 10.1.1.32,1,2
Node: 30, Time: +16s,10.1.1.32, 10.1.1.32,1,1
Node: 30, Time: +16s,10.1.1.33, 10.1.1.49,1,2
Node: 30, Time: +16s,10.1.1.34, 10.1.1.17,1,2
Node: 30, Time: +16s,10.1.1.35, 10.1.1.32,1,5
Node: 30, Time: +16s,10.1.1.37, 10.1.1.32,1,2
Node: 30, Time: +16s,10.1.1.38, 10.1.1.32,1,2
Node: 30, Time: +16s,10.1.1.39, 10.1.1.32,1,2
Node: 30, Time: +16s,10.1.1.41, 10.1.1.32,1,5
Node: 30, Time: +16s,10.1.1.44, 10.1.1.44,1,1
Node: 30, Time: +16s,10.1.1.47, 10.1.1.47,1,1
Node: 30, Time: +16s,10.1.1.49, 10.1.1.49,1,1
Node: 31, Time: +16s,10.1.1.1, 10.1.1.31,1,2
Node: 31, Time: +16s,10.1.1.2, 10.1.1.39,1,2
Node: 31, Time: +16s,10.1.1.3, 10.1.1.38,1,2
Node: 31, Time: +16s,10.1.1.4, 10.1.1.23,1,2
Node: 31, Time: +16s,10.1.1.8, 10.1.1.38,1,4
Node: 31, Time: +16s,10.1.1.10, 10.1.1.38,1,2
Node: 31, Time: +16s,10.1.1.12, 10.1.1.12,1,1
Node: 31, Time: +16s,10.1.1.14, 10.1.1.29,1,2
Node: 31, Time: +16s,10.1.1.15, 10.1.1.49,1,3
Node: 31, Time: +16s,10.1.1.16, 10.1.1.38,1,2
Node: 31, Time: +16s,10.1.1.17, 10.1.1.17,1,1
Node: 31, Time: +16s,10.1.1.20, 10.1.1.38,1,3
Node: 31, Time: +16s,10.1.1.22, 10.1.1.23,1,2
Node: 31, Time: +16s,10.1.1.23, 10.1.1.23,1,1
Node: 31, Time: +16s,10.1.1.24, 10.1.1.38,1,3
Node: 31, Time: +16s,10.1.1.25, 10.1.1.49,1,2
Node: 31, Time: +16s,10.1.1.26, 10.1.1.31,1,2
Node: 31, Time: +16s,10.1.1.28, 10.1.1.38,1,5
Node: 31, Time: +16s,10.1.1.29, 10.1.1.29,1,1
Node: 31, Time: +16s,10.1.1.30, 10.1.1.30,1,1
Node: 31, Time: +16s,10.1.1.31, 10.1.1.31,1,1
Node: 31, Time: +16s,10.1.1.32, 10.1.1.38,1,3
Node: 31, Time: +16s,10.1.1.33, 10.1.1.49,1,2
Node: 31, Time: +16s,10.1.1.34, 10.1.1.29,1,2
Node: 31, Time: +16s,10.1.1.35, 10.1.1.38,1,5
Node: 31, Time: +16s,10.1.1.37, 10.1.1.37,1,1
Node: 31, Time: +16s,10.1.1.38, 10.1.1.38,1,1
Node: 31, Time: +16s,10.1.1.39, 10.1.1.39,1,1
Node: 31, Time: +16s,10.1.1.41, 10.1.1.38,1,5
Node: 31, Time: +16s,10.1.1.44, 10.1.1.44,1,1
Node: 31, Time: +16s,10.1.1.47, 10.1.1.31,1,2
Node: 31, Time: +16s,10.1.1.49, 10.1.1.49,1,1
Node: 32, Time: +16s,10.1.1.1, 10.1.1.1,1,1
Node: 32, Time: +16s,10.1.1.2, 10.1.1.29,1,4
Node: 32, Time: +16s,10.1.1.3, 10.1.1.29,1,4
Node: 32, Time: +16s,10.1.1.4, 10.1.1.4,1,1
Node: 32, Time: +16s,10.1.1.8, 10.1.1.29,1,6
Node: 32, Time: +16s,10.1.1.10, 10.1.1.29,1,4
Node: 32, Time: +16s,10.1.1.12, 10.1.1.29,1,3
Node: 32, Time: +16s,10.1.1.14, 10.1.1.14,1,1
Node: 32, Time: +16s,10.1.1.15, 10.1.1.15,1,1
Node: 32, Time: +16s,10.1.1.16, 10.1.1.29,1,5
Node: 32, Time: +16s,10.1.1.17, 10.1.1.29,1,2
Node: 32, Time: +16s,10.1.1.20, 10.1.1.29,1,5
Node: 32, Time: +16s,10.1.1.22, 10.1.1.34,1,2
Node: 32, Time: +16s,10.1.1.23, 10.1.1.14,1,2
Node: 32, Time: +16s,10.1.1.24, 10.1.1.29,1,5
Node: 32, Time: +16s,10.1.1.25, 10.1.1.25,1,1
Node: 32, Time: +16s,10.1.1.26, 10.1.1.49,1,2
Node: 32, Time: +16s,10.1.1.28, 10.1.1.29,1,7
Node: 32, Time: +16s,10.1.1.29, 10.1.1.29,1,1
Node: 32, Time: +16s,10.1.1.30, 10.1.1.29,1,3
Node: 32, Time: +16s,10.1.1.31, 10.1.1.49,1,2
Node: 32, Time: +16s,10.1.1.32, 10.1.1.29,1,3
Node: 32, Time: +16s,10.1.1.34, 10.1.1.34,1,1
Node: 32, Time: +16s,10.1.1.35, 10.1.1.29,1,7
Node: 32, Time: +16s,10.1.1.37, 10.1.1.29,1,3
Node: 32, Time: +16s,10.1.1.38, 10.1.1.29,1,4
Node: 32, Time: +16s,10.1.1.39, 10.1.1.29,1,3
Node: 32, Time: +16s,10.1.1.41, 10.1.1.29,1,7
Node: 32, Time: +16s,10.1.1.44, 10.1.1.29,1,3
Node: 32, Time: +16s,10.1.1.47, 10.1.1.49,1,3
Node: 32, Time: +16s,10.1.1.49, 10.1.1.49,1,1
Node: 33, Time: +16s,10.1.1.1, 10.1.1.33,1,2
Node: 33, Time: +16s,10.1.1.2, 10.1.1.37,1,2
Node: 33, Time: +16s,10.1.1.3, 10.1.1.37,1,3
Node: 33, Time: +16s,10.1.1.4, 10.1.1.4,1,1
Node: 33, Time: +16s,10.1.1.8, 10.1.1.37,1,4
Node: 33, Time: +16s,10.1.1.10, 10.1.1.37,1,2
Node: 33, Time: +16s,10.1.1.12, 10.1.1.37,1,2
Node: 33, Time: +16s,10.1.1.14, 10.1.1.14,1,1
Node: 33, Time: +16s,10.1.1.15, 10.1.1.33,1,2
Node: 33, Time: +16s,10.1.1.16, 10.1.1.37,1,3
Node: 33, Time: +16s,10.1.1.17, 10.1.1.17,1,1
Node: 33, Time: +16s,10.1.1.20, 10.1.1.37,1,3
Node: 33, Time: +16s,10.1.1.22, 10.1.1.22,1,1
Node: 33, Time: +16s,10.1.1.23, 10.1.1.23,1,1
Node: 33, Time: +16s,10.1.1.24, 10.1.1.37,1,3
Node: 33, Time: +16s,10.1.1.25, 10.1.1.33,1,2
Node: 33, Time: +16s,10.1.1.26, 10.1.1.17,1,3
Node: 33, Time: +16s,10.1.1.28, 10.1.1.37,1,5
Node: 33, Time: +16s,10.1.1.29, 10.1.1.29,1,1
Node: 33, Time: +16s,10.1.1.30, 10.1.1.37,1,2
Node: 33, Time: +16s,10.1.1.31, 10.1.1.17,1,2
Node: 33, Time: +16s,10.1.1.32, 10.1.1.37,1,2
Node: 33, Time: +16s,10.1.1.33, 10.1.1.33,1,1
Node: 33, Time: +16s,10.1.1.35, 10.1.1.37,1,5
Node: 33, Time: +16s,10.1.1.37, 10.1.1.37,1,1
Node: 33, Time: +16s,10.1.1.38, 10.1.1.37,1,2
Node: 33, Time: +16s,10.1.1.39, 10.1.1.37,1,2
Node: 33, Time: +16s,10.1.1.41, 10.1.1.37,1,5
Node: 33, Time: +16s,10.1.1.44, 10.1.1.37,1,2
Node: 33, Time: +16s,10.1.1.47, 10.1.1.37,1,3
Node: 33, Time: +16s,10.1.1.49, 10.1.1.17,1,2
Node: 34, Time: +16s,10.1.1.1, 10.1.1.8,1,8
Node: 34, Time: +16s,10.1.1.2, 10.1.1.8,1,4
Node: 34, Time: +16s,10.1.1.3, 10.1.1.8,1,4
Node: 34, Time: +16s,10.1.1.8, 10.1.1.8,1,1
Node: 34, Time: +16s,10.1.1.10, 10.1.1.8,1,3
Node: 34, Time: +16s,10.1.1.12, 10.1.1.8,1,4
Node: 34, Time: +16s,10.1.1.14, 10.1.1.8,1,6
Node: 34, Time: +16s,10.1.1.15, 10.1.1.8,1,8
Node: 34, Time: +16s,10.1.1.16, 10.1.1.8,1,5
Node: 34, Time: +16s,10.1.1.17, 10.1.1.8,1,6
Node: 34, Time: +16s,10.1.1.20, 10.1.1.8,1,2
Node: 34, Time: +16s,10.1.1.22, 10.1.1.8,1,5
Node: 34, Time: +16s,10.1.1.23, 10.1.1.8,1,5
Node: 34, Time: +16s,10.1.1.24, 10.1.1.8,1,3
Node: 34, Time: +16s,10.1.1.25, 10.1.1.8,1,8
Node: 34, Time: +16s,10.1.1.28, 10.1.1.28,1,1
Node: 34, Time: +16s,10.1.1.29, 10.1.1.8,1,7
Node: 34, Time: +16s,10.1.1.30, 10.1.1.8,1,4
Node: 34, Time: +16s,10.1.1.31, 10.1.1.8,1,7
Node: 34, Time: +16s,10.1.1.32, 10.1.1.8,1,5
Node: 34, Time: +16s,10.1.1.33, 10.1.1.8,1,7
Node: 34, Time: +16s,10.1.1.34, 10.1.1.8,1,6
Node: 34, Time: +16s,10.1.1.37, 10.1.1.8,1,5
Node: 34, Time: +16s,10.1.1.38, 10.1.1.8,1,4
Node: 34, Time: +16s,10.1.1.39, 10.1.1.8,1,5
Node: 34, Time: +16s,10.1.1.41, 10.1.1.41,1,1
Node: 34, Time: +16s,10.1.1.44, 10.1.1.8,1,5
Node: 34, Time: +16s,10.1.1.47, 10.1.1.8,1,6
Node: 34, Time: +16s,10.1.1.49, 10.1.1.8,1,7
Node: 35, Time: +16s,10.1.1.40, 10.1.1.40,1,1
Node: 36, Time: +16s,10.1.1.1, 10.1.1.29,1,2
Node: 36, Time: +16s,10.1.1.2, 10.1.1.38,1,2
Node: 36, Time: +16s,10.1.1.3, 10.1.1.38,1,2
Node: 36, Time: +16s,10.1.1.4, 10.1.1.34,1,2
Node: 36, Time: +16s,10.1.1.8, 10.1.1.38,1,4
Node: 36, Time: +16s,10.1.1.10, 10.1.1.38,1,2
Node: 36, Time: +16s,10.1.1.12, 10.1.1.12,1,1
Node: 36, Time: +16s,10.1.1.14, 10.1.1.34,1,2
Node: 36, Time: +16s,10.1.1.15, 10.1.1.34,1,3
Node: 36, Time: +16s,10.1.1.17, 10.1.1.17,1,1
Node: 36, Time: +16s,10.1.1.20, 10.1.1.38,1,3
Node: 36, Time: +16s,10.1.1.22, 10.1.1.34,1,2
Node: 36, Time: +16s,10.1.1.23, 10.1.1.23,1,1
Node: 36, Time: +16s,10.1.1.24, 10.1.1.38,1,3
Node: 36, Time: +16s,10.1.1.25, 10.1.1.29,1,2
Node: 36, Time: +16s,10.1.1.26, 10.1.1.44,1,2
Node: 36, Time: +16s,10.1.1.28, 10.1.1.38,1,5
Node: 36, Time: +16s,10.1.1.29, 10.1.1.29,1,1
Node: 36, Time: +16s,10.1.1.30, 10.1.1.30,1,1
Node: 36, Time: +16s,10.1.1.31, 10.1.1.17,1,2
Node: 36, Time: +16s,10.1.1.32, 10.1.1.32,1,1
Node: 36, Time: +16s,10.1.1.33, 10.1.1.34,1,2
Node: 36, Time: +16s,10.1.1.34, 10.1.1.34,1,1
Node: 36, Time: +16s,10.1.1.35, 10.1.1.38,1,5
Node: 36, Time: +16s,10.1.1.38, 10.1.1.38,1,1
Node: 36, Time: +16s,10.1.1.39, 10.1.1.39,1,1
Node: 36, Time: +16s,10.1.1.41, 10.1.1.38,1,5
Node: 36, Time: +16s,10.1.1.44, 10.1.1.44,1,1
Node: 36, Time: +16s,10.1.1.47, 10.1.1.44,1,2
Node: 36, Time: +16s,10.1.1.49, 10.1.1.44,1,2
Node: 37, Time: +16s,10.1.1.1, 10.1.1.37,1,4
Node: 37, Time: +16s,10.1.1.2, 10.1.1.2,1,1
Node: 37, Time: +16s,10.1.1.3, 10.1.1.3,1,1
Node: 37, Time: +16s,10.1.1.4, 10.1.1.30,1,4
Node: 37, Time: +16s,10.1.1.8, 10.1.1.24,1,3
Node: 37, Time: +16s,10.1.1.10, 10.1.1.10,1,1
Node: 37, Time: +16s,10.1.1.12, 10.1.1.12,1,1
Node: 37, Time: +16s,10.1.1.14, 10.1.1.37,1,3
Node: 37, Time: +16s,10.1.1.15, 10.1.1.30,1,5
Node: 37, Time: +16s,10.1.1.16, 10.1.1.3,1,2
Node: 37, Time: +16s,10.1.1.17, 10.1.1.37,1,2
Node: 37, Time: +16s,10.1.1.20, 10.1.1.24,1,2
Node: 37, Time: +16s,10.1.1.22, 10.1.1.37,1,3
Node: 37, Time: +16s,10.1.1.23, 10.1.1.37,1,2
Node: 37, Time: +16s,10.1.1.24, 10.1.1.24,1,1
Node: 37, Time: +16s,10.1.1.25, 10.1.1.37,1,4
Node: 37, Time: +16s,10.1.1.26, 10.1.1.37,1,3
Node: 37, Time: +16s,10.1.1.28, 10.1.1.24,1,4
Node: 37, Time: +16s,10.1.1.29, 10.1.1.30,1,2
Node: 37, Time: +16s,10.1.1.30, 10.1.1.30,1,1
Node: 37, Time: +16s,10.1.1.31, 10.1.1.37,1,3
Node: 37, Time: +16s,10.1.1.32, 10.1.1.32,1,1
Node: 37, Time: +16s,10.1.1.33, 10.1.1.30,1,4
Node: 37, Time: +16s,10.1.1.34, 10.1.1.30,1,3
Node: 37, Time: +16s,10.1.1.35, 10.1.1.24,1,4
Node: 37, Time: +16s,10.1.1.37, 10.1.1.37,1,1
Node: 37, Time: +16s,10.1.1.39, 10.1.1.2,1,2
Node: 37, Time: +16s,10.1.1.41, 10.1.1.24,1,4
Node: 37, Time: +16s,10.1.1.44, 10.1.1.37,1,2
Node: 37, Time: +16s,10.1.1.47, 10.1.1.2,1,3
Node: 37, Time: +16s,10.1.1.49, 10.1.1.37,1,3
Node: 38, Time: +16s,10.1.1.1, 10.1.1.44,1,3
Node: 38, Time: +16s,10.1.1.2, 10.1.1.2,1,1
Node: 38, Time: +16s,10.1.1.3, 10.1.1.32,1,2
Node: 38, Time: +16s,10.1.1.4, 10.1.1.17,1,3
Node: 38, Time: +16s,10.1.1.8, 10.1.1.2,1,4
Node: 38, Time: +16s,10.1.1.10, 10.1.1.2,1,2
Node: 38, Time: +16s,10.1.1.12, 10.1.1.12,1,1
Node: 38, Time: +16s,10.1.1.14, 10.1.1.32,1,3
Node: 38, Time: +16s,10.1.1.15, 10.1.1.17,1,4
Node: 38, Time: +16s,10.1.1.17, 10.1.1.17,1,1
Node: 38, Time: +16s,10.1.1.20, 10.1.1.2,1,3
Node: 38, Time: +16s,10.1.1.22, 10.1.1.32,1,3
Node: 38, Time: +16s,10.1.1.23, 10.1.1.32,1,2
Node: 38, Time: +16s,10.1.1.24, 10.1.1.2,1,2
Node: 38, Time: +16s,10.1.1.25, 10.1.1.44,1,3
Node: 38, Time: +16s,10.1.1.26, 10.1.1.44,1,2
Node: 38, Time: +16s,10.1.1.28, 10.1.1.2,1,5
Node: 38, Time: +16s,10.1.1.29, 10.1.1.32,1,2
Node: 38, Time: +16s,10.1.1.30, 10.1.1.37,1,2
Node: 38, Time: +16s,10.1.1.31, 10.1.1.44,1,2
Node: 38, Time: +16s,10.1.1.32, 10.1.1.32,1,1
Node: 38, Time: +16s,10.1.1.33, 10.1.1.17,1,3
Node: 38, Time: +16s,10.1.1.34, 10.1.1.17,1,2
Node: 38, Time: +16s,10.1.1.35, 10.1.1.2,1,5
Node: 38, Time: +16s,10.1.1.37, 10.1.1.37,1,1
Node: 38, Time: +16s,10.1.1.38, 10.1.1.2,1,2
Node: 38, Time: +16s,10.1.1.41, 10.1.1.2,1,5
Node: 38, Time: +16s,10.1.1.44, 10.1.1.44,1,1
Node: 38, Time: +16s,10.1.1.47, 10.1.1.47,1,1
Node: 38, Time: +16s,10.1.1.49, 10.1.1.44,1,2
Node: 39, Time: +16s,10.1.1.36, 10.1.1.36,1,1
Node: 40, Time: +16s,10.1.1.1, 10.1.1.8,1,8
Node: 40, Time: +16s,10.1.1.2, 10.1.1.8,1,4
Node: 40, Time: +16s,10.1.1.3, 10.1.1.8,1,4
Node: 40, Time: +16s,10.1.1.8, 10.1.1.8,1,1
Node: 40, Time: +16s,10.1.1.10, 10.1.1.8,1,3
Node: 40, Time: +16s,10.1.1.12, 10.1.1.8,1,4
Node: 40, Time: +16s,10.1.1.14, 10.1.1.8,1,6
Node: 40, Time: +16s,10.1.1.15, 10.1.1.8,1,8
Node: 40, Time: +16s,10.1.1.16, 10.1.1.42,1,2
Node: 40, Time: +16s,10.1.1.17, 10.1.1.8,1,6
Node: 40, Time: +16s,10.1.1.20, 10.1.1.8,1,2
Node: 40, Time: +16s,10.1.1.22, 10.1.1.8,1,5
Node: 40, Time: +16s,10.1.1.23, 10.1.1.8,1,5
Node: 40, Time: +16s,10.1.1.24, 10.1.1.8,1,3
Node: 40, Time: +16s,10.1.1.25, 10.1.1.8,1,8
Node: 40, Time: +16s,10.1.1.28, 10.1.1.28,1,1
Node: 40, Time: +16s,10.1.1.29, 10.1.1.8,1,7
Node: 40, Time: +16s,10.1.1.30, 10.1.1.8,1,4
Node: 40, Time: +16s,10.1.1.31, 10.1.1.8,1,7
Node: 40, Time: +16s,10.1.1.32, 10.1.1.8,1,5
Node: 40, Time: +16s,10.1.1.33, 10.1.1.8,1,7
Node: 40, Time: +16s,10.1.1.34, 10.1.1.8,1,6
Node: 40, Time: +16s,10.1.1.35, 10.1.1.35,1,1
Node: 40, Time: +16s,10.1.1.37, 10.1.1.8,1,5
Node: 40, Time: +16s,10.1.1.38, 10.1.1.8,1,4
Node: 40, Time: +16s,10.1.1.39, 10.1.1.8,1,5
Node: 40, Time: +16s,10.1.1.42, 10.1.1.42,1,1
Node: 40, Time: +16s,10.1.1.43, 10.1.1.42,1,2
Node: 40, Time: +16s,10.1.1.44, 10.1.1.8,1,5
Node: 40, Time: +16s,10.1.1.45, 10.1.1.42,1,2
Node: 40, Time: +16s,10.1.1.47, 10.1.1.8,1,6
Node: 40, Time: +16s,10.1.1.49, 10.1.1.8,1,7
Node: 41, Time: +16s,10.1.1.3, 10.1.1.45,1,2
Node: 41, Time: +16s,10.1.1.8, 10.1.1.41,1,2
Node: 41, Time: +16s,10.1.1.16, 10.1.1.16,1,1
Node: 41, Time: +16s,10.1.1.24, 10.1.1.45,1,3
Node: 41, Time: +16s,10.1.1.28, 10.1.1.41,1,2
Node: 41, Time: +16s,10.1.1.35, 10.1.1.41,1,2
Node: 41, Time: +16s,10.1.1.41, 10.1.1.41,1,1
Node: 41, Time: +16s,10.1.1.43, 10.1.1.43,1,1
Node: 41, Time: +16s,10.1.1.45, 10.1.1.45,1,1
Node: 42, Time: +16s,10.1.1.16, 10.1.1.16,1,1
Node: 42, Time: +16s,10.1.1.22, 10.1.1.16,1,2
Node: 42, Time: +16s,10.1.1.38, 10.1.1.16,1,2
Node: 42, Time: +16s,10.1.1.42, 10.1.1.42,1,1
Node: 42, Time: +16s,10.1.1.45, 10.1.1.16,1,2
Node: 43, Time: +16s,10.1.1.1, 10.1.1.49,1,2
Node: 43, Time: +16s,10.1.1.2, 10.1.1.39,1,2
Node: 43, Time: +16s,10.1.1.3, 10.1.1.32,1,2
Node: 43, Time: +16s,10.1.1.4, 10.1.1.29,1,3
Node: 43, Time: +16s,10.1.1.8, 10.1.1.32,1,4
Node: 43, Time: +16s,10.1.1.10, 10.1.1.32,1,2
Node: 43, Time: +16s,10.1.1.12, 10.1.1.17,1,2
Node: 43, Time: +16s,10.1.1.14, 10.1.1.29,1,2
Node: 43, Time: +16s,10.1.1.15, 10.1.1.49,1,3
Node: 43, Time: +16s,10.1.1.16, 10.1.1.37,1,3
Node: 43, Time: +16s,10.1.1.17, 10.1.1.17,1,1
Node: 43, Time: +16s,10.1.1.20, 10.1.1.32,1,3
Node: 43, Time: +16s,10.1.1.22, 10.1.1.37,1,3
Node: 43, Time: +16s,10.1.1.23, 10.1.1.37,1,2
Node: 43, Time: +16s,10.1.1.24, 10.1.1.32,1,3
Node: 43, Time: +16s,10.1.1.25, 10.1.1.49,1,2
Node: 43, Time: +16s,10.1.1.26, 10.1.1.26,1,1
Node: 43, Time: +16s,10.1.1.28, 10.1.1.32,1,5
Node: 43, Time: +16s,10.1.1.29, 10.1.1.29,1,1
Node: 43, Time: +16s,10.1.1.30, 10.1.1.37,1,2
Node: 43, Time: +16s,10.1.1.31, 10.1.1.31,1,1
Node: 43, Time: +16s,10.1.1.32, 10.1.1.32,1,1
Node: 43, Time: +16s,10.1.1.33, 10.1.1.49,1,2
Node: 43, Time: +16s,10.1.1.34, 10.1.1.29,1,2
Node: 43, Time: +16s,10.1.1.35, 10.1.1.32,1,5
Node: 43, Time: +16s,10.1.1.37, 10.1.1.37,1,1
Node: 43, Time: +16s,10.1.1.38, 10.1.1.37,1,2
Node: 43, Time: +16s,10.1.1.39, 10.1.1.39,1,1
Node: 43, Time: +16s,10.1.1.41, 10.1.1.32,1,5
Node: 43, Time: +16s,10.1.1.47, 10.1.1.47,1,1
Node: 43, Time: +16s,10.1.1.49, 10.1.1.49,1,1
Node: 44, Time: +16s,10.1.1.3, 10.1.1.3,1,1
Node: 44, Time: +16s,10.1.1.10, 10.1.1.3,1,2
Node: 44, Time: +16s,10.1.1.12, 10.1.1.3,1,2
Node: 44, Time: +16s,10.1.1.16, 10.1.1.16,1,1
Node: 44, Time: +16s,10.1.1.24, 10.1.1.3,1,2
Node: 44, Time: +16s,10.1.1.30, 10.1.1.3,1,2
Node: 44, Time: +16s,10.1.1.32, 10.1.1.3,1,2
Node: 44, Time: +16s,10.1.1.38, 10.1.1.3,1,2
Node: 44, Time: +16s,10.1.1.42, 10.1.1.42,1,1
Node: 44, Time: +16s,10.1.1.43, 10.1.1.16,1,2
Node: 45, Time: +16s,10.1.1.19, 10.1.1.19,1,1
Node: 46, Time: +16s,10.1.1.1, 10.1.1.26,1,2
Node: 46, Time: +16s,10.1.1.2, 10.1.1.39,1,2
Node: 46, Time: +16s,10.1.1.3, 10.1.1.44,1,3
Node: 46, Time: +16s,10.1.1.4, 10.1.1.44,1,4
Node: 46, Time: +16s,10.1.1.8, 10.1.1.44,1,5
Node: 46, Time: +16s,10.1.1.10, 10.1.1.44,1,3
Node: 46, Time: +16s,10.1.1.12, 10.1.1.44,1,2
Node: 46, Time: +16s,10.1.1.14, 10.1.1.44,1,3
Node: 46, Time: +16s,10.1.1.17, 10.1.1.44,1,2
Node: 46, Time: +16s,10.1.1.20, 10.1.1.44,1,4
Node: 46, Time: +16s,10.1.1.22, 10.1.1.44,1,4
Node: 46, Time: +16s,10.1.1.23, 10.1.1.44,1,3
Node: 46, Time: +16s,10.1.1.24, 10.1.1.39,1,3
Node: 46, Time: +16s,10.1.1.25, 10.1.1.44,1,3
Node: 46, Time: +16s,10.1.1.26, 10.1.1.26,1,1
Node: 46, Time: +16s,10.1.1.28, 10.1.1.44,1,6
Node: 46, Time: +16s,10.1.1.29, 10.1.1.44,1,2
Node: 46, Time: +16s,10.1.1.30, 10.1.1.44,1,3
Node: 46, Time: +16s,10.1.1.31, 10.1.1.31,1,1
Node: 46, Time: +16s,10.1.1.32, 10.1.1.39,1,2
Node: 46, Time: +16s,10.1.1.33, 10.1.1.44,1,4
Node: 46, Time: +16s,10.1.1.34, 10.1.1.44,1,3
Node: 46, Time: +16s,10.1.1.35, 10.1.1.44,1,6
Node: 46, Time: +16s,10.1.1.37, 10.1.1.44,1,2
Node: 46, Time: +16s,10.1.1.38, 10.1.1.44,1,3
Node: 46, Time: +16s,10.1.1.39, 10.1.1.39,1,1
Node: 46, Time: +16s,10.1.1.41, 10.1.1.44,1,6
Node: 46, Time: +16s,10.1.1.44, 10.1.1.44,1,1
Node: 46, Time: +16s,10.1.1.49, 10.1.1.44,1,2
Node: 47, Time: +16s,10.1.1.27, 10.1.1.27,1,1
Node: 48, Time: +16s,10.1.1.1, 10.1.1.1,1,1
Node: 48, Time: +16s,10.1.1.2, 10.1.1.32,1,3
Node: 48, Time: +16s,10.1.1.3, 10.1.1.32,1,2
Node: 48, Time: +16s,10.1.1.4, 10.1.1.29,1,3
Node: 48, Time: +16s,10.1.1.8, 10.1.1.32,1,4
